Core, 0
Cumulative Cycles, 20794707            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.96178
Periodic Cycles, 10327260            
Periodic Instructions, 10000000            
Periodic IPC, 0.96831

BTB_ON_PATH_MISS_count,         26193
BTB_ON_PATH_MISS_pct,        0.272
BTB_ON_PATH_MISS_total_count,         49022
BTB_ON_PATH_MISS_total_pct,        0.253

BTB_ON_PATH_HIT_count,       9617543
BTB_ON_PATH_HIT_pct,       99.728
BTB_ON_PATH_HIT_total_count,      19364200
BTB_ON_PATH_HIT_total_pct,       99.747
BTB_ON_PATH_HIT_sum_count,       9643736
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,      19413222
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         1.00
BTB_ON_PATH_HIT_stddev,         1.00
BTB_ON_PATH_HIT_total_mean,         1.00
BTB_ON_PATH_HIT_total_stddev,         1.00

BTB_OFF_PATH_MISS_count,         47214
BTB_OFF_PATH_MISS_pct,       29.493
BTB_OFF_PATH_MISS_total_count,        101007
BTB_OFF_PATH_MISS_total_pct,       32.332

BTB_OFF_PATH_HIT_count,        112872
BTB_OFF_PATH_HIT_pct,       70.507
BTB_OFF_PATH_HIT_total_count,        211401
BTB_OFF_PATH_HIT_total_pct,       67.668
BTB_OFF_PATH_HIT_sum_count,        160086
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        312408
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.71
BTB_OFF_PATH_HIT_stddev,         0.64
BTB_OFF_PATH_HIT_total_mean,         0.68
BTB_OFF_PATH_HIT_total_stddev,         0.62

BTB_ON_PATH_WRITE_count,          7177
BTB_ON_PATH_WRITE_pct,       96.947
BTB_ON_PATH_WRITE_total_count,         13536
BTB_ON_PATH_WRITE_total_pct,       94.354

BTB_OFF_PATH_WRITE_count,           226
BTB_OFF_PATH_WRITE_pct,        3.053
BTB_OFF_PATH_WRITE_total_count,           810
BTB_OFF_PATH_WRITE_total_pct,        5.646
BTB_OFF_PATH_WRITE_sum_count,          7403
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         14346
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.03
BTB_OFF_PATH_WRITE_stddev,         0.17
BTB_OFF_PATH_WRITE_total_mean,         0.06
BTB_OFF_PATH_WRITE_total_stddev,         0.22

BP_ON_PATH_CORRECT_count,       9640939
BP_ON_PATH_CORRECT_pct,       99.971
BP_ON_PATH_CORRECT_total_count,      19406513
BP_ON_PATH_CORRECT_total_pct,       99.965

BP_ON_PATH_MISPREDICT_count,          2411
BP_ON_PATH_MISPREDICT_pct,        0.025
BP_ON_PATH_MISPREDICT_total_count,          6095
BP_ON_PATH_MISPREDICT_total_pct,        0.031

BP_ON_PATH_MISFETCH_count,           386
BP_ON_PATH_MISFETCH_pct,        0.004
BP_ON_PATH_MISFETCH_total_count,           614
BP_ON_PATH_MISFETCH_total_pct,        0.003
BP_ON_PATH_MISFETCH_sum_count,       9643736
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,      19413222
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.02
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.02

BP_OFF_PATH_CORRECT_count,        149714
BP_OFF_PATH_CORRECT_pct,       93.521
BP_OFF_PATH_CORRECT_total_count,        291388
BP_OFF_PATH_CORRECT_total_pct,       93.272

BP_OFF_PATH_MISPREDICT_count,           983
BP_OFF_PATH_MISPREDICT_pct,        0.614
