Core, 0
Cumulative Cycles, 12553501            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.59318
Periodic Cycles, 6280599             
Periodic Instructions, 9999996             
Periodic IPC, 1.59220

EXECUTION_TIME_count, 1962687187500
EXECUTION_TIME_total_count, 3922969062500

NODE_CYCLE_count,       6280599
NODE_CYCLE_total_count,      12553501

NODE_INST_COUNT_count,       9999996
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999996
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      14411991
NODE_UOP_COUNT_total_count,      28823983

FULL_WINDOW_STALL_count,       1881558
FULL_WINDOW_STALL_pct,       29.958
FULL_WINDOW_STALL_total_count,       3753146
FULL_WINDOW_STALL_total_pct,       29.897

FULL_WINDOW_MEM_OP_count,        247518
FULL_WINDOW_MEM_OP_pct,       17.511
FULL_WINDOW_MEM_OP_total_count,        491834
FULL_WINDOW_MEM_OP_total_pct,       17.447

FULL_WINDOW_FP_OP_count,       1166012
FULL_WINDOW_FP_OP_pct,       82.489
FULL_WINDOW_FP_OP_total_count,       2327258
FULL_WINDOW_FP_OP_total_pct,       82.553

FULL_WINDOW_OTHER_OP_count,             1
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             1
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,       1413531
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       2819093
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.82
FULL_WINDOW_OTHER_OP_stddev,         0.16
FULL_WINDOW_OTHER_OP_total_mean,         0.83
FULL_WINDOW_OTHER_OP_total_stddev,         0.16

RET_BLOCKED_DC_MISS_count,        113612
RET_BLOCKED_DC_MISS_pct,        1.809
RET_BLOCKED_DC_MISS_total_count,        224563
RET_BLOCKED_DC_MISS_total_pct,        1.789

RET_BLOCKED_L1_MISS_count,          9224
RET_BLOCKED_L1_MISS_pct,        0.147
RET_BLOCKED_L1_MISS_total_count,         17825
RET_BLOCKED_L1_MISS_total_pct,        0.142

RET_BLOCKED_L1_MISS_BW_PREF_count,          1711
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.027
RET_BLOCKED_L1_MISS_BW_PREF_total_count,          2284
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.018

RET_BLOCKED_L1_ACCESS_count,        104388
RET_BLOCKED_L1_ACCESS_pct,        1.662
RET_BLOCKED_L1_ACCESS_total_count,        206746
RET_BLOCKED_L1_ACCESS_total_pct,        1.647

RET_BLOCKED_MEM_STALL_count,         20923
RET_BLOCKED_MEM_STALL_pct,        0.333
RET_BLOCKED_MEM_STALL_total_count,         41511
RET_BLOCKED_MEM_STALL_total_pct,        0.331

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      14411943
OP_ISSUED_total_count,      28826415

OP_RETIRED_count,      14411991
OP_RETIRED_total_count,      28823983

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
