Core, 0
Cumulative Cycles, 20337889            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.98339
Periodic Cycles, 10162828            
Periodic Instructions, 10000000            
Periodic IPC, 0.98398

EXECUTION_TIME_count, 3175883750000
EXECUTION_TIME_total_count, 6355590312500

NODE_CYCLE_count,      10162828
NODE_CYCLE_total_count,      20337889

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,          1612
NODE_INST_COUNT_FETCHED_total_count,          4031

NODE_UOP_COUNT_count,      39995812
NODE_UOP_COUNT_total_count,      79989530

FULL_WINDOW_STALL_count,       9692225
FULL_WINDOW_STALL_pct,       95.369
FULL_WINDOW_STALL_total_count,      19377158
FULL_WINDOW_STALL_total_pct,       95.276

FULL_WINDOW_MEM_OP_count,        163788
FULL_WINDOW_MEM_OP_pct,      100.000
FULL_WINDOW_MEM_OP_total_count,        329531
FULL_WINDOW_MEM_OP_total_pct,       99.999

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             4
FULL_WINDOW_OTHER_OP_total_pct,        0.001
FULL_WINDOW_OTHER_OP_sum_count,        163788
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        329535
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.00
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.01

RET_BLOCKED_DC_MISS_count,          7746
RET_BLOCKED_DC_MISS_pct,        0.076
RET_BLOCKED_DC_MISS_total_count,         22247
RET_BLOCKED_DC_MISS_total_pct,        0.109

RET_BLOCKED_L1_MISS_count,          7334
RET_BLOCKED_L1_MISS_pct,        0.072
RET_BLOCKED_L1_MISS_total_count,         76643
RET_BLOCKED_L1_MISS_total_pct,        0.377

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,         51948
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.255

RET_BLOCKED_L1_ACCESS_count,           884
RET_BLOCKED_L1_ACCESS_pct,        0.009
RET_BLOCKED_L1_ACCESS_total_count,          3091
RET_BLOCKED_L1_ACCESS_total_pct,        0.015

RET_BLOCKED_MEM_STALL_count,          7334
RET_BLOCKED_MEM_STALL_pct,        0.072
RET_BLOCKED_MEM_STALL_total_count,         76645
RET_BLOCKED_MEM_STALL_total_pct,        0.377

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      39995936
OP_ISSUED_total_count,      79995481

OP_RETIRED_count,      39995812
OP_RETIRED_total_count,      79989530

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,            28
LD_NO_DEPENDENTS_pct,        5.054
LD_NO_DEPENDENTS_total_count,            93
LD_NO_DEPENDENTS_total_pct,        6.715

LD_DEPENDENTS_count,           526
LD_DEPENDENTS_pct,       94.946
LD_DEPENDENTS_total_count,          1292
LD_DEPENDENTS_total_pct,       93.285
LD_DEPENDENTS_sum_count,           554
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,          1385
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.95
LD_DEPENDENTS_stddev,         0.93
LD_DEPENDENTS_total_mean,         0.93
LD_DEPENDENTS_total_stddev,         0.90

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,         -nan
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,         -nan

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,         -nan
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,         -nan

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,         -nan
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,         -nan

LD_EXEC_CYCLES_3_count,             0
LD_EXEC_CYCLES_3_pct,         -nan
LD_EXEC_CYCLES_3_total_count,             0
LD_EXEC_CYCLES_3_total_pct,         -nan

LD_EXEC_CYCLES_4_count,             0
LD_EXEC_CYCLES_4_pct,         -nan
LD_EXEC_CYCLES_4_total_count,             0
LD_EXEC_CYCLES_4_total_pct,         -nan
LD_EXEC_CYCLES_4_sum_count,             0
LD_EXEC_CYCLES_4_sum_pct,         -nan
LD_EXEC_CYCLES_4_sum_total_count,             0
LD_EXEC_CYCLES_4_sum_total_pct,         -nan
LD_EXEC_CYCLES_4_mean,         -nan
LD_EXEC_CYCLES_4_stddev,         -nan
LD_EXEC_CYCLES_4_total_mean,         -nan
LD_EXEC_CYCLES_4_total_stddev,         -nan

ICACHE_STAGE_STARVED_count,             0
ICACHE_STAGE_STARVED_pct,        0.000
ICACHE_STAGE_STARVED_total_count,         14987
ICACHE_STAGE_STARVED_total_pct,        0.075

ICACHE_STAGE_NOT_STARVED_count,       9998877
ICACHE_STAGE_NOT_STARVED_pct,      100.000
ICACHE_STAGE_NOT_STARVED_total_count,      19997233
ICACHE_STAGE_NOT_STARVED_total_pct,       99.925
ICACHE_STAGE_NOT_STARVED_sum_count,       9998877
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      20012220
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,        163875
ICACHE_STAGE_STALLED_pct,        1.612
ICACHE_STAGE_STALLED_total_count,        325198
ICACHE_STAGE_STALLED_total_pct,        1.599

ICACHE_STAGE_NOT_STALLED_count,       9998877
ICACHE_STAGE_NOT_STALLED_pct,       98.387
ICACHE_STAGE_NOT_STALLED_total_count,      20004745
ICACHE_STAGE_NOT_STALLED_total_pct,       98.362

ICACHE_STAGE_OFF_PATH_count,            76
ICACHE_STAGE_OFF_PATH_pct,        0.001
ICACHE_STAGE_OFF_PATH_total_count,          7946
ICACHE_STAGE_OFF_PATH_total_pct,        0.039
ICACHE_STAGE_OFF_PATH_sum_count,      10162828
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,      20337889
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.98
ICACHE_STAGE_OFF_PATH_stddev,         0.02
ICACHE_STAGE_OFF_PATH_total_mean,         0.98
ICACHE_STAGE_OFF_PATH_total_stddev,         0.03

DECODE_STAGE_STARVED_count,      10162036
DECODE_STAGE_STARVED_pct,       99.993
DECODE_STAGE_STARVED_total_count,      20328334
DECODE_STAGE_STARVED_total_pct,       99.989

