Core, 0
Cumulative Cycles, 13369201            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.49598
Periodic Cycles, 6744878             
Periodic Instructions, 9999997             
Periodic IPC, 1.48261

EXECUTION_TIME_count, 2107774375000
EXECUTION_TIME_total_count, 4177875312500

NODE_CYCLE_count,       6744878
NODE_CYCLE_total_count,      13369201

NODE_INST_COUNT_count,       9999997
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       5653247
NODE_INST_COUNT_FETCHED_total_count,      11712088

NODE_UOP_COUNT_count,      24369103
NODE_UOP_COUNT_total_count,      47618888

FULL_WINDOW_STALL_count,        170191
FULL_WINDOW_STALL_pct,        2.523
FULL_WINDOW_STALL_total_count,        366763
FULL_WINDOW_STALL_total_pct,        2.743

FULL_WINDOW_MEM_OP_count,        107501
FULL_WINDOW_MEM_OP_pct,       98.764
FULL_WINDOW_MEM_OP_total_count,        246331
FULL_WINDOW_MEM_OP_total_pct,       98.887

FULL_WINDOW_FP_OP_count,           807
FULL_WINDOW_FP_OP_pct,        0.741
FULL_WINDOW_FP_OP_total_count,          1665
FULL_WINDOW_FP_OP_total_pct,        0.668

FULL_WINDOW_OTHER_OP_count,           538
FULL_WINDOW_OTHER_OP_pct,        0.494
FULL_WINDOW_OTHER_OP_total_count,          1107
FULL_WINDOW_OTHER_OP_total_pct,        0.444
FULL_WINDOW_OTHER_OP_sum_count,        108846
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        249103
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.02
FULL_WINDOW_OTHER_OP_stddev,         0.16
FULL_WINDOW_OTHER_OP_total_mean,         0.02
FULL_WINDOW_OTHER_OP_total_stddev,         0.15

RET_BLOCKED_DC_MISS_count,        231079
RET_BLOCKED_DC_MISS_pct,        3.426
RET_BLOCKED_DC_MISS_total_count,        540105
RET_BLOCKED_DC_MISS_total_pct,        4.040

RET_BLOCKED_L1_MISS_count,        126372
RET_BLOCKED_L1_MISS_pct,        1.874
RET_BLOCKED_L1_MISS_total_count,        356275
RET_BLOCKED_L1_MISS_total_pct,        2.665

RET_BLOCKED_L1_MISS_BW_PREF_count,           733
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.011
RET_BLOCKED_L1_MISS_BW_PREF_total_count,         38642
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.289

RET_BLOCKED_L1_ACCESS_count,        110853
RET_BLOCKED_L1_ACCESS_pct,        1.644
RET_BLOCKED_L1_ACCESS_total_count,        228177
RET_BLOCKED_L1_ACCESS_total_pct,        1.707

RET_BLOCKED_MEM_STALL_count,        130903
RET_BLOCKED_MEM_STALL_pct,        1.941
RET_BLOCKED_MEM_STALL_total_count,        364257
RET_BLOCKED_MEM_STALL_total_pct,        2.725

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      24453180
OP_ISSUED_total_count,      47917365

OP_RETIRED_count,      24369103
OP_RETIRED_total_count,      47618888

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         19302
LD_NO_DEPENDENTS_pct,        0.919
LD_NO_DEPENDENTS_total_count,         39173
LD_NO_DEPENDENTS_total_pct,        0.898

LD_DEPENDENTS_count,       2081056
LD_DEPENDENTS_pct,       99.081
LD_DEPENDENTS_total_count,       4324725
LD_DEPENDENTS_total_pct,       99.102
LD_DEPENDENTS_sum_count,       2100358
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       4363898
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.99
LD_DEPENDENTS_stddev,         0.99
LD_DEPENDENTS_total_mean,         0.99
LD_DEPENDENTS_total_stddev,         0.99

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
