Core, 0
Cumulative Cycles, 13369201            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.49598
Periodic Cycles, 6744878             
Periodic Instructions, 9999997             
Periodic IPC, 1.48261

POWER_STATS_BEGIN_count,             0
POWER_STATS_BEGIN_total_count,             0

POWER_TIME_count, 2107774375000
POWER_TIME_total_count, 4177875312500

POWER_CYCLE_count,       6744878
POWER_CYCLE_total_count,      13369201

POWER_ITLB_ACCESS_count,        109667
POWER_ITLB_ACCESS_total_count,        236039

POWER_DTLB_ACCESS_count,       4810844
POWER_DTLB_ACCESS_total_count,       9250826

POWER_ICACHE_ACCESS_count,        109667
POWER_ICACHE_ACCESS_total_count,        236039

POWER_ICACHE_MISS_count,          1020
POWER_ICACHE_MISS_total_count,          2532

POWER_BTB_READ_count,             0
POWER_BTB_READ_total_count,             0

POWER_BTB_WRITE_count,          1466
POWER_BTB_WRITE_total_count,          6497

POWER_ROB_READ_count,      24417142
POWER_ROB_READ_total_count,      47810631

POWER_ROB_WRITE_count,      24417142
POWER_ROB_WRITE_total_count,      47810631

POWER_RENAME_READ_count,      48834284
POWER_RENAME_READ_total_count,      95621262

POWER_RENAME_WRITE_count,      24417142
POWER_RENAME_WRITE_total_count,      47810631

POWER_FP_RENAME_READ_count,             0
POWER_FP_RENAME_READ_total_count,             0

POWER_FP_RENAME_WRITE_count,             0
POWER_FP_RENAME_WRITE_total_count,             0

POWER_FUNCTION_CALL_count,        167206
POWER_FUNCTION_CALL_total_count,        348707

POWER_INST_WINDOW_READ_count,      24417142
POWER_INST_WINDOW_READ_total_count,      47810631

POWER_INST_WINDOW_WRITE_count,      24417142
POWER_INST_WINDOW_WRITE_total_count,      47810631

POWER_INT_REGFILE_READ_count,      38648445
POWER_INT_REGFILE_READ_total_count,      75105225

POWER_INT_REGFILE_WRITE_count,      15363719
POWER_INT_REGFILE_WRITE_total_count,      30446704

POWER_IALU_ACCESS_count,      24297269
POWER_IALU_ACCESS_total_count,      47560845

POWER_CDB_IALU_ACCESS_count,      24297269
POWER_CDB_IALU_ACCESS_total_count,      47560845

POWER_MUL_ACCESS_count,        119873
POWER_MUL_ACCESS_total_count,        249786

POWER_CDB_MUL_ACCESS_count,        119873
POWER_CDB_MUL_ACCESS_total_count,        249786

POWER_FP_INST_WINDOW_WRITE_count,             0
POWER_FP_INST_WINDOW_WRITE_total_count,             0

POWER_FP_INST_WINDOW_READ_count,             0
POWER_FP_INST_WINDOW_READ_total_count,             0

POWER_FP_REGFILE_READ_count,             0
POWER_FP_REGFILE_READ_total_count,             0

POWER_FP_REGFILE_WRITE_count,             0
POWER_FP_REGFILE_WRITE_total_count,             0

POWER_FPU_ACCESS_count,             0
POWER_FPU_ACCESS_total_count,             0

POWER_CDB_FPU_ACCESS_count,             0
POWER_CDB_FPU_ACCESS_total_count,             0

POWER_DCACHE_READ_ACCESS_count,       2136692
POWER_DCACHE_READ_ACCESS_total_count,       4437040

POWER_DCACHE_WRITE_ACCESS_count,       4821533
POWER_DCACHE_WRITE_ACCESS_total_count,       9265777

POWER_DCACHE_READ_MISS_count,         42503
POWER_DCACHE_READ_MISS_total_count,         72294

POWER_DCACHE_WRITE_MISS_count,       3811329
POWER_DCACHE_WRITE_MISS_total_count,       7276101

POWER_MLC_READ_ACCESS_count,             0
POWER_MLC_READ_ACCESS_total_count,             0

POWER_MLC_WRITE_ACCESS_count,             0
POWER_MLC_WRITE_ACCESS_total_count,             0

POWER_MLC_READ_MISS_count,             0
POWER_MLC_READ_MISS_total_count,             0

POWER_MLC_WRITE_MISS_count,             0
POWER_MLC_WRITE_MISS_total_count,             0

POWER_LLC_READ_ACCESS_count,        149639
POWER_LLC_READ_ACCESS_total_count,        298730

POWER_LLC_WRITE_ACCESS_count,         73660
POWER_LLC_WRITE_ACCESS_total_count,        138173

POWER_LLC_READ_MISS_count,         32069
POWER_LLC_READ_MISS_total_count,         90176

POWER_LLC_WRITE_MISS_count,            14
POWER_LLC_WRITE_MISS_total_count,            18

POWER_MEMORY_ACCESS_count,             0
POWER_MEMORY_ACCESS_total_count,             0

POWER_MEMORY_READ_ACCESS_count,             0
POWER_MEMORY_READ_ACCESS_total_count,             0

POWER_MEMORY_WRITE_ACCESS_count,             0
POWER_MEMORY_WRITE_ACCESS_total_count,             0

POWER_INST_WINDOW_WAKEUP_ACCESS_count,      24417142
POWER_INST_WINDOW_WAKEUP_ACCESS_total_count,      47810631

POWER_FP_INST_WINDOW_WAKEUP_ACCESS_count,             0
POWER_FP_INST_WINDOW_WAKEUP_ACCESS_total_count,             0

POWER_L1DIREC_READ_ACCESS_count,             0
POWER_L1DIREC_READ_ACCESS_total_count,             0

POWER_L1DIREC_WRITE_ACCESS_count,             0
POWER_L1DIREC_WRITE_ACCESS_total_count,             0

POWER_L1DIREC_READ_MISS_count,             0
POWER_L1DIREC_READ_MISS_total_count,             0

POWER_L1DIREC_WRITE_MISS_count,             0
