Core, 0
Cumulative Cycles, 11606584            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.72316
Periodic Cycles, 5892453             
Periodic Instructions, 9999991             
Periodic IPC, 1.69708

BTB_ON_PATH_MISS_count,        115365
BTB_ON_PATH_MISS_pct,        2.230
BTB_ON_PATH_MISS_total_count,        239022
BTB_ON_PATH_MISS_total_pct,        2.392

BTB_ON_PATH_HIT_count,       5057630
BTB_ON_PATH_HIT_pct,       97.770
BTB_ON_PATH_HIT_total_count,       9754093
BTB_ON_PATH_HIT_total_pct,       97.608
BTB_ON_PATH_HIT_sum_count,       5172995
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       9993115
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.98
BTB_ON_PATH_HIT_stddev,         0.97
BTB_ON_PATH_HIT_total_mean,         0.98
BTB_ON_PATH_HIT_total_stddev,         0.96

BTB_OFF_PATH_MISS_count,         36353
BTB_OFF_PATH_MISS_pct,       33.009
BTB_OFF_PATH_MISS_total_count,        125095
BTB_OFF_PATH_MISS_total_pct,       33.830

BTB_OFF_PATH_HIT_count,         73778
BTB_OFF_PATH_HIT_pct,       66.991
BTB_OFF_PATH_HIT_total_count,        244685
BTB_OFF_PATH_HIT_total_pct,       66.170
BTB_OFF_PATH_HIT_sum_count,        110131
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        369780
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.67
BTB_OFF_PATH_HIT_stddev,         0.61
BTB_OFF_PATH_HIT_total_mean,         0.66
BTB_OFF_PATH_HIT_total_stddev,         0.60

BTB_ON_PATH_WRITE_count,         61966
BTB_ON_PATH_WRITE_pct,       99.987
BTB_ON_PATH_WRITE_total_count,        130492
BTB_ON_PATH_WRITE_total_pct,       99.745

BTB_OFF_PATH_WRITE_count,             8
BTB_OFF_PATH_WRITE_pct,        0.013
BTB_OFF_PATH_WRITE_total_count,           334
BTB_OFF_PATH_WRITE_total_pct,        0.255
BTB_OFF_PATH_WRITE_sum_count,         61974
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        130826
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.01
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.05

BP_ON_PATH_CORRECT_count,       5171534
BP_ON_PATH_CORRECT_pct,       99.972
BP_ON_PATH_CORRECT_total_count,       9986718
BP_ON_PATH_CORRECT_total_pct,       99.936

BP_ON_PATH_MISPREDICT_count,          1387
BP_ON_PATH_MISPREDICT_pct,        0.027
BP_ON_PATH_MISPREDICT_total_count,          6255
BP_ON_PATH_MISPREDICT_total_pct,        0.063

BP_ON_PATH_MISFETCH_count,            74
BP_ON_PATH_MISFETCH_pct,        0.001
BP_ON_PATH_MISFETCH_total_count,           142
BP_ON_PATH_MISFETCH_total_pct,        0.001
BP_ON_PATH_MISFETCH_sum_count,       5172995
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       9993115
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.02
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.03

BP_OFF_PATH_CORRECT_count,        107638
BP_OFF_PATH_CORRECT_pct,       97.736
BP_OFF_PATH_CORRECT_total_count,        360395
BP_OFF_PATH_CORRECT_total_pct,       97.462

BP_OFF_PATH_MISPREDICT_count,           104
BP_OFF_PATH_MISPREDICT_pct,        0.094
BP_OFF_PATH_MISPREDICT_total_count,          1160
BP_OFF_PATH_MISPREDICT_total_pct,        0.314

BP_OFF_PATH_MISFETCH_count,          2389
BP_OFF_PATH_MISFETCH_pct,        2.169
BP_OFF_PATH_MISFETCH_total_count,          8225
BP_OFF_PATH_MISFETCH_total_pct,        2.224
BP_OFF_PATH_MISFETCH_sum_count,        110131
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,        369780
