Core, 0
Cumulative Cycles, 9335858             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.14228
Periodic Cycles, 4497486             
Periodic Instructions, 10000000            
Periodic IPC, 2.22346

ST_OP_INV_count,             0
ST_OP_INV_pct,        0.000
ST_OP_INV_total_count,             0
ST_OP_INV_total_pct,        0.000

ST_OP_NOP_count,        378578
ST_OP_NOP_pct,        2.459
ST_OP_NOP_total_count,        906269
ST_OP_NOP_total_pct,        2.825

ST_OP_CF_count,       2100907
ST_OP_CF_pct,       13.648
ST_OP_CF_total_count,       4394488
ST_OP_CF_total_pct,       13.697

ST_OP_MOV_count,       1497444
ST_OP_MOV_pct,        9.728
ST_OP_MOV_total_count,       3100561
ST_OP_MOV_total_pct,        9.664

ST_OP_CMOV_count,          3561
ST_OP_CMOV_pct,        0.023
ST_OP_CMOV_total_count,          7107
ST_OP_CMOV_total_pct,        0.022

ST_OP_LDA_count,        175510
ST_OP_LDA_pct,        1.140
ST_OP_LDA_total_count,        359249
ST_OP_LDA_total_pct,        1.120

ST_OP_ILD_count,       2443690
ST_OP_ILD_pct,       15.875
ST_OP_ILD_total_count,       5110415
ST_OP_ILD_total_pct,       15.928

ST_OP_IST_count,       1297751
ST_OP_IST_pct,        8.431
ST_OP_IST_total_count,       2705547
ST_OP_IST_total_pct,        8.433

ST_OP_IADD_count,       1941327
ST_OP_IADD_pct,       12.611
ST_OP_IADD_total_count,       4022012
ST_OP_IADD_total_pct,       12.536

ST_OP_IMUL_count,         33812
ST_OP_IMUL_pct,        0.220
ST_OP_IMUL_total_count,         69238
ST_OP_IMUL_total_pct,        0.216

ST_OP_IDIV_count,             0
ST_OP_IDIV_pct,        0.000
ST_OP_IDIV_total_count,             0
ST_OP_IDIV_total_pct,        0.000

ST_OP_ICMP_count,        587193
ST_OP_ICMP_pct,        3.815
ST_OP_ICMP_total_count,       1245763
ST_OP_ICMP_total_pct,        3.883

ST_OP_LOGIC_count,       1172428
ST_OP_LOGIC_pct,        7.616
ST_OP_LOGIC_total_count,       2432653
ST_OP_LOGIC_total_pct,        7.582

ST_OP_SHIFT_count,        106263
ST_OP_SHIFT_pct,        0.690
ST_OP_SHIFT_total_count,        229744
ST_OP_SHIFT_total_pct,        0.716

ST_OP_FLD_count,       1802916
ST_OP_FLD_pct,       11.712
ST_OP_FLD_total_count,       3715590
ST_OP_FLD_total_pct,       11.581

ST_OP_FST_count,        362296
ST_OP_FST_pct,        2.354
ST_OP_FST_total_count,        755447
ST_OP_FST_total_pct,        2.355

ST_OP_FCVT_count,        130866
ST_OP_FCVT_pct,        0.850
ST_OP_FCVT_total_count,        276030
ST_OP_FCVT_total_pct,        0.860

ST_OP_FADD_count,        308577
ST_OP_FADD_pct,        2.005
ST_OP_FADD_total_count,        633224
ST_OP_FADD_total_pct,        1.974

ST_OP_FMUL_count,        358955
ST_OP_FMUL_pct,        2.332
ST_OP_FMUL_total_count,        732886
ST_OP_FMUL_total_pct,        2.284

ST_OP_FMA_count,        640793
ST_OP_FMA_pct,        4.163
ST_OP_FMA_total_count,       1284945
ST_OP_FMA_total_pct,        4.005

ST_OP_FDIV_count,         32742
ST_OP_FDIV_pct,        0.213
ST_OP_FDIV_total_count,         66997
ST_OP_FDIV_total_pct,        0.209

ST_OP_FCMP_count,         17868
ST_OP_FCMP_pct,        0.116
ST_OP_FCMP_total_count,         36463
ST_OP_FCMP_total_pct,        0.114

ST_OP_FCMOV_count,             0
ST_OP_FCMOV_pct,        0.000
ST_OP_FCMOV_total_count,             0
ST_OP_FCMOV_total_pct,        0.000

ST_OP_GATHER_count,             0
ST_OP_GATHER_pct,        0.000
ST_OP_GATHER_total_count,             0
ST_OP_GATHER_total_pct,        0.000

ST_OP_SCATTER_count,             0
ST_OP_SCATTER_pct,        0.000
ST_OP_SCATTER_total_count,             0
ST_OP_SCATTER_total_pct,        0.000

ST_OP_PIPELINED_FAST_count,             0
ST_OP_PIPELINED_FAST_pct,        0.000
ST_OP_PIPELINED_FAST_total_count,             0
ST_OP_PIPELINED_FAST_total_pct,        0.000

ST_OP_PIPELINED_MEDIUM_count,             0
ST_OP_PIPELINED_MEDIUM_pct,        0.000
ST_OP_PIPELINED_MEDIUM_total_count,             0
ST_OP_PIPELINED_MEDIUM_total_pct,        0.000

ST_OP_PIPELINED_SLOW_count,             0
ST_OP_PIPELINED_SLOW_pct,        0.000
ST_OP_PIPELINED_SLOW_total_count,             0
ST_OP_PIPELINED_SLOW_total_pct,        0.000

ST_OP_NOTPIPELINED_MEDIUM_count,             0
ST_OP_NOTPIPELINED_MEDIUM_pct,        0.000
ST_OP_NOTPIPELINED_MEDIUM_total_count,             0
ST_OP_NOTPIPELINED_MEDIUM_total_pct,        0.000

ST_OP_NOTPIPELINED_SLOW_count,             0
ST_OP_NOTPIPELINED_SLOW_pct,        0.000
ST_OP_NOTPIPELINED_SLOW_total_count,             0
ST_OP_NOTPIPELINED_SLOW_total_pct,        0.000

ST_OP_NOTPIPELINED_VERY_SLOW_count,             0
ST_OP_NOTPIPELINED_VERY_SLOW_pct,        0.000
ST_OP_NOTPIPELINED_VERY_SLOW_total_count,             0
ST_OP_NOTPIPELINED_VERY_SLOW_total_pct,        0.000
ST_OP_NOTPIPELINED_VERY_SLOW_sum_count,      15393477
ST_OP_NOTPIPELINED_VERY_SLOW_sum_pct,      100.000
ST_OP_NOTPIPELINED_VERY_SLOW_sum_total_count,      32084628
ST_OP_NOTPIPELINED_VERY_SLOW_sum_total_pct,      100.000
ST_OP_NOTPIPELINED_VERY_SLOW_mean,         8.39
ST_OP_NOTPIPELINED_VERY_SLOW_stddev,         5.14
ST_OP_NOTPIPELINED_VERY_SLOW_total_mean,         8.33
ST_OP_NOTPIPELINED_VERY_SLOW_total_stddev,         5.13

ST_NOT_CF_count,      13292570
ST_NOT_CF_pct,       86.352
ST_NOT_CF_total_count,      27690140
ST_NOT_CF_total_pct,       86.303

ST_CF_BR_count,        143244
ST_CF_BR_pct,        0.931
ST_CF_BR_total_count,        298503
ST_CF_BR_total_pct,        0.930

ST_CF_CBR_count,       1383483
ST_CF_CBR_pct,        8.987
ST_CF_CBR_total_count,       2908010
ST_CF_CBR_total_pct,        9.064

ST_CF_CALL_count,        190584
ST_CF_CALL_pct,        1.238
ST_CF_CALL_total_count,        395145
ST_CF_CALL_total_pct,        1.232

ST_CF_IBR_count,          3433
ST_CF_IBR_pct,        0.022
ST_CF_IBR_total_count,          6163
ST_CF_IBR_total_pct,        0.019

ST_CF_ICALL_count,         91488
ST_CF_ICALL_pct,        0.594
ST_CF_ICALL_total_count,        188778
ST_CF_ICALL_total_pct,        0.588

ST_CF_ICO_count,             0
ST_CF_ICO_pct,        0.000
ST_CF_ICO_total_count,             0
ST_CF_ICO_total_pct,        0.000

ST_CF_RET_count,        288675
ST_CF_RET_pct,        1.875
ST_CF_RET_total_count,        597889
ST_CF_RET_total_pct,        1.863

ST_CF_SYS_count,             0
ST_CF_SYS_pct,        0.000
ST_CF_SYS_total_count,             0
ST_CF_SYS_total_pct,        0.000
ST_CF_SYS_sum_count,      15393477
ST_CF_SYS_sum_pct,      100.000
ST_CF_SYS_sum_total_count,      32084628
ST_CF_SYS_sum_total_pct,      100.000
ST_CF_SYS_mean,         0.39
ST_CF_SYS_stddev,         1.13
ST_CF_SYS_total_mean,         0.39
ST_CF_SYS_total_stddev,         1.12

ST_BAR_NONE_count,      15393477
ST_BAR_NONE_pct,      100.000
ST_BAR_NONE_total_count,      32084628
ST_BAR_NONE_total_pct,      100.000

ST_BAR_FETCH_count,             0
ST_BAR_FETCH_pct,        0.000
ST_BAR_FETCH_total_count,             0
ST_BAR_FETCH_total_pct,        0.000

ST_BAR_ISSUE_count,             0
ST_BAR_ISSUE_pct,        0.000
ST_BAR_ISSUE_total_count,             0
ST_BAR_ISSUE_total_pct,        0.000

ST_BAR_BOTH_count,             0
ST_BAR_BOTH_pct,        0.000
ST_BAR_BOTH_total_count,             0
ST_BAR_BOTH_total_pct,        0.000
ST_BAR_BOTH_sum_count,      15393477
ST_BAR_BOTH_sum_pct,      100.000
ST_BAR_BOTH_sum_total_count,      32084628
ST_BAR_BOTH_sum_total_pct,      100.000
ST_BAR_BOTH_mean,         0.00
ST_BAR_BOTH_stddev,         0.00
ST_BAR_BOTH_total_mean,         0.00
ST_BAR_BOTH_total_stddev,         0.00

ST_NOT_MEM_count,       9486824
ST_NOT_MEM_pct,       61.629
ST_NOT_MEM_total_count,      19797629
ST_NOT_MEM_total_pct,       61.704

ST_MEM_LD_count,       4246606
