Core, 0
Cumulative Cycles, 7087835             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.82174
Periodic Cycles, 3380555             
Periodic Instructions, 10000000            
Periodic IPC, 2.95809

BTB_ON_PATH_MISS_count,        351287
BTB_ON_PATH_MISS_pct,       19.824
BTB_ON_PATH_MISS_total_count,        707085
BTB_ON_PATH_MISS_total_pct,       19.875

BTB_ON_PATH_HIT_count,       1420743
BTB_ON_PATH_HIT_pct,       80.176
BTB_ON_PATH_HIT_total_count,       2850539
BTB_ON_PATH_HIT_total_pct,       80.125
BTB_ON_PATH_HIT_sum_count,       1772030
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       3557624
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.80
BTB_ON_PATH_HIT_stddev,         0.74
BTB_ON_PATH_HIT_total_mean,         0.80
BTB_ON_PATH_HIT_total_stddev,         0.74

BTB_OFF_PATH_MISS_count,        134355
BTB_OFF_PATH_MISS_pct,       20.842
BTB_OFF_PATH_MISS_total_count,        355317
BTB_OFF_PATH_MISS_total_pct,       20.663

BTB_OFF_PATH_HIT_count,        510282
BTB_OFF_PATH_HIT_pct,       79.158
BTB_OFF_PATH_HIT_total_count,       1364225
BTB_OFF_PATH_HIT_total_pct,       79.337
BTB_OFF_PATH_HIT_sum_count,        644637
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       1719542
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.79
BTB_OFF_PATH_HIT_stddev,         0.73
BTB_OFF_PATH_HIT_total_mean,         0.79
BTB_OFF_PATH_HIT_total_stddev,         0.73

BTB_ON_PATH_WRITE_count,         57307
BTB_ON_PATH_WRITE_pct,       99.984
BTB_ON_PATH_WRITE_total_count,        115198
BTB_ON_PATH_WRITE_total_pct,       99.860

BTB_OFF_PATH_WRITE_count,             9
BTB_OFF_PATH_WRITE_pct,        0.016
BTB_OFF_PATH_WRITE_total_count,           162
BTB_OFF_PATH_WRITE_total_pct,        0.140
BTB_OFF_PATH_WRITE_sum_count,         57316
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        115360
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.01
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.04

BP_ON_PATH_CORRECT_count,       1760508
BP_ON_PATH_CORRECT_pct,       99.350
BP_ON_PATH_CORRECT_total_count,       3527318
BP_ON_PATH_CORRECT_total_pct,       99.148

BP_ON_PATH_MISPREDICT_count,          5656
BP_ON_PATH_MISPREDICT_pct,        0.319
BP_ON_PATH_MISPREDICT_total_count,         18366
BP_ON_PATH_MISPREDICT_total_pct,        0.516

BP_ON_PATH_MISFETCH_count,          5866
BP_ON_PATH_MISFETCH_pct,        0.331
BP_ON_PATH_MISFETCH_total_count,         11940
BP_ON_PATH_MISFETCH_total_pct,        0.336
BP_ON_PATH_MISFETCH_sum_count,       1772030
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       3557624
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.01
BP_ON_PATH_MISFETCH_stddev,         0.13
BP_ON_PATH_MISFETCH_total_mean,         0.01
BP_ON_PATH_MISFETCH_total_stddev,         0.14

BP_OFF_PATH_CORRECT_count,        621438
BP_OFF_PATH_CORRECT_pct,       96.401
BP_OFF_PATH_CORRECT_total_count,       1664360
BP_OFF_PATH_CORRECT_total_pct,       96.791

BP_OFF_PATH_MISPREDICT_count,          1247
BP_OFF_PATH_MISPREDICT_pct,        0.193
BP_OFF_PATH_MISPREDICT_total_count,          3364
BP_OFF_PATH_MISPREDICT_total_pct,        0.196

BP_OFF_PATH_MISFETCH_count,         21952
BP_OFF_PATH_MISFETCH_pct,        3.405
BP_OFF_PATH_MISFETCH_total_count,         51818
BP_OFF_PATH_MISFETCH_total_pct,        3.013
BP_OFF_PATH_MISFETCH_sum_count,        644637
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,       1719542
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.07
BP_OFF_PATH_MISFETCH_stddev,         0.36
BP_OFF_PATH_MISFETCH_total_mean,         0.06
BP_OFF_PATH_MISFETCH_total_stddev,         0.34

LATE_BP_ON_PATH_CORRECT_count,       1772030
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       3557624
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1772030
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       3557624
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,        644637
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,       1719542
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
