Core, 0
Cumulative Cycles, 22173065            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.90200
Periodic Cycles, 11100014            
Periodic Instructions, 9999997             
Periodic IPC, 0.90090

BTB_ON_PATH_MISS_count,        570037
BTB_ON_PATH_MISS_pct,       27.372
BTB_ON_PATH_MISS_total_count,       1142097
BTB_ON_PATH_MISS_total_pct,       27.452

BTB_ON_PATH_HIT_count,       1512529
BTB_ON_PATH_HIT_pct,       72.628
BTB_ON_PATH_HIT_total_count,       3018213
BTB_ON_PATH_HIT_total_pct,       72.548
BTB_ON_PATH_HIT_sum_count,       2082566
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4160310
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.73
BTB_ON_PATH_HIT_stddev,         0.66
BTB_ON_PATH_HIT_total_mean,         0.73
BTB_ON_PATH_HIT_total_stddev,         0.66

BTB_OFF_PATH_MISS_count,        434916
BTB_OFF_PATH_MISS_pct,       14.443
BTB_OFF_PATH_MISS_total_count,        895908
BTB_OFF_PATH_MISS_total_pct,       14.596

BTB_OFF_PATH_HIT_count,       2576336
BTB_OFF_PATH_HIT_pct,       85.557
BTB_OFF_PATH_HIT_total_count,       5242153
BTB_OFF_PATH_HIT_total_pct,       85.404
BTB_OFF_PATH_HIT_sum_count,       3011252
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       6138061
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.86
BTB_OFF_PATH_HIT_stddev,         0.80
BTB_OFF_PATH_HIT_total_mean,         0.85
BTB_OFF_PATH_HIT_total_stddev,         0.80

BTB_ON_PATH_WRITE_count,         86441
BTB_ON_PATH_WRITE_pct,       99.875
BTB_ON_PATH_WRITE_total_count,        173965
BTB_ON_PATH_WRITE_total_pct,       99.853

BTB_OFF_PATH_WRITE_count,           108
BTB_OFF_PATH_WRITE_pct,        0.125
BTB_OFF_PATH_WRITE_total_count,           256
BTB_OFF_PATH_WRITE_total_pct,        0.147
BTB_OFF_PATH_WRITE_sum_count,         86549
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        174221
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.04
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.04

BP_ON_PATH_CORRECT_count,       2046611
BP_ON_PATH_CORRECT_pct,       98.274
BP_ON_PATH_CORRECT_total_count,       4086612
BP_ON_PATH_CORRECT_total_pct,       98.229

BP_ON_PATH_MISPREDICT_count,         32808
BP_ON_PATH_MISPREDICT_pct,        1.575
BP_ON_PATH_MISPREDICT_total_count,         67263
BP_ON_PATH_MISPREDICT_total_pct,        1.617

BP_ON_PATH_MISFETCH_count,          3147
BP_ON_PATH_MISFETCH_pct,        0.151
BP_ON_PATH_MISFETCH_total_count,          6435
BP_ON_PATH_MISFETCH_total_pct,        0.155
BP_ON_PATH_MISFETCH_sum_count,       2082566
