Core, 0
Cumulative Cycles, 16638254            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.20205
Periodic Cycles, 8363139             
Periodic Instructions, 9999996             
Periodic IPC, 1.19572

EXECUTION_TIME_count, 2613480937500
EXECUTION_TIME_total_count, 5199454375000

NODE_CYCLE_count,       8363139
NODE_CYCLE_total_count,      16638254

NODE_INST_COUNT_count,       9999996
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999996
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      11371085
NODE_UOP_COUNT_total_count,      22729224

FULL_WINDOW_STALL_count,       5461048
FULL_WINDOW_STALL_pct,       65.299
FULL_WINDOW_STALL_total_count,      10808908
FULL_WINDOW_STALL_total_pct,       64.964

FULL_WINDOW_MEM_OP_count,        649701
FULL_WINDOW_MEM_OP_pct,       14.048
FULL_WINDOW_MEM_OP_total_count,       1325320
FULL_WINDOW_MEM_OP_total_pct,       14.469

FULL_WINDOW_FP_OP_count,       3809737
FULL_WINDOW_FP_OP_pct,       82.376
FULL_WINDOW_FP_OP_total_count,       7505444
FULL_WINDOW_FP_OP_total_pct,       81.937

FULL_WINDOW_OTHER_OP_count,        165401
FULL_WINDOW_OTHER_OP_pct,        3.576
FULL_WINDOW_OTHER_OP_total_count,        329229
FULL_WINDOW_OTHER_OP_total_pct,        3.594
FULL_WINDOW_OTHER_OP_sum_count,       4624839
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       9159993
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.90
FULL_WINDOW_OTHER_OP_stddev,         0.29
FULL_WINDOW_OTHER_OP_total_mean,         0.89
FULL_WINDOW_OTHER_OP_total_stddev,         0.29

RET_BLOCKED_DC_MISS_count,         30189
RET_BLOCKED_DC_MISS_pct,        0.361
RET_BLOCKED_DC_MISS_total_count,        113714
RET_BLOCKED_DC_MISS_total_pct,        0.683

RET_BLOCKED_L1_MISS_count,         12971
RET_BLOCKED_L1_MISS_pct,        0.155
RET_BLOCKED_L1_MISS_total_count,         73580
RET_BLOCKED_L1_MISS_total_pct,        0.442

RET_BLOCKED_L1_MISS_BW_PREF_count,          5976
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.071
RET_BLOCKED_L1_MISS_BW_PREF_total_count,         13078
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.079

RET_BLOCKED_L1_ACCESS_count,         17245
RET_BLOCKED_L1_ACCESS_pct,        0.206
RET_BLOCKED_L1_ACCESS_total_count,         42055
RET_BLOCKED_L1_ACCESS_total_pct,        0.253

RET_BLOCKED_MEM_STALL_count,         13007
RET_BLOCKED_MEM_STALL_pct,        0.156
RET_BLOCKED_MEM_STALL_total_count,         74565
RET_BLOCKED_MEM_STALL_total_pct,        0.448

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      12531030
OP_ISSUED_total_count,      25064143

OP_RETIRED_count,      11371085
OP_RETIRED_total_count,      22729224

REPLAY_SIGNALED_count,             0
