Core, 0
Cumulative Cycles, 7019103             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.84937
Periodic Cycles, 3379685             
Periodic Instructions, 10000000            
Periodic IPC, 2.95886

EXECUTION_TIME_count, 1056151562500
EXECUTION_TIME_total_count, 2193469687500

NODE_CYCLE_count,       3379685
NODE_CYCLE_total_count,       7019103

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,      10000000
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      10463590
NODE_UOP_COUNT_total_count,      20934875

FULL_WINDOW_STALL_count,        379609
FULL_WINDOW_STALL_pct,       11.232
FULL_WINDOW_STALL_total_count,        842074
FULL_WINDOW_STALL_total_pct,       11.997

FULL_WINDOW_MEM_OP_count,        101527
FULL_WINDOW_MEM_OP_pct,       32.439
FULL_WINDOW_MEM_OP_total_count,        303228
FULL_WINDOW_MEM_OP_total_pct,       42.736

FULL_WINDOW_FP_OP_count,        205155
FULL_WINDOW_FP_OP_pct,       65.550
FULL_WINDOW_FP_OP_total_count,        394101
FULL_WINDOW_FP_OP_total_pct,       55.544

FULL_WINDOW_OTHER_OP_count,          6293
FULL_WINDOW_OTHER_OP_pct,        2.011
FULL_WINDOW_OTHER_OP_total_count,         12205
FULL_WINDOW_OTHER_OP_total_pct,        1.720
FULL_WINDOW_OTHER_OP_sum_count,        312975
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,        709534
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.70
FULL_WINDOW_OTHER_OP_stddev,         0.32
FULL_WINDOW_OTHER_OP_total_mean,         0.59
FULL_WINDOW_OTHER_OP_total_stddev,         0.37

RET_BLOCKED_DC_MISS_count,        191641
RET_BLOCKED_DC_MISS_pct,        5.670
RET_BLOCKED_DC_MISS_total_count,        532812
RET_BLOCKED_DC_MISS_total_pct,        7.591

RET_BLOCKED_L1_MISS_count,         67723
RET_BLOCKED_L1_MISS_pct,        2.004
RET_BLOCKED_L1_MISS_total_count,        249382
RET_BLOCKED_L1_MISS_total_pct,        3.553

RET_BLOCKED_L1_MISS_BW_PREF_count,          1684
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.050
RET_BLOCKED_L1_MISS_BW_PREF_total_count,          4574
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.065

RET_BLOCKED_L1_ACCESS_count,        123918
RET_BLOCKED_L1_ACCESS_pct,        3.667
RET_BLOCKED_L1_ACCESS_total_count,        283509
RET_BLOCKED_L1_ACCESS_total_pct,        4.039

RET_BLOCKED_MEM_STALL_count,         67723
RET_BLOCKED_MEM_STALL_pct,        2.004
RET_BLOCKED_MEM_STALL_total_count,        249395
RET_BLOCKED_MEM_STALL_total_pct,        3.553

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      12726205
OP_ISSUED_total_count,      25976324

OP_RETIRED_count,      10463590
OP_RETIRED_total_count,      20934875

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         38900
LD_NO_DEPENDENTS_pct,        1.258
LD_NO_DEPENDENTS_total_count,         77133
LD_NO_DEPENDENTS_total_pct,        1.247

LD_DEPENDENTS_count,       3054327
LD_DEPENDENTS_pct,       98.742
LD_DEPENDENTS_total_count,       6106042
LD_DEPENDENTS_total_pct,       98.753
LD_DEPENDENTS_sum_count,       3093227
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       6183175
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.99
LD_DEPENDENTS_stddev,         0.98
LD_DEPENDENTS_total_mean,         0.99
LD_DEPENDENTS_total_stddev,         0.98

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          1313
LD_EXEC_CYCLES_3_pct,       46.809
LD_EXEC_CYCLES_3_total_count,          2302
LD_EXEC_CYCLES_3_total_pct,       43.640

LD_EXEC_CYCLES_4_count,          1492
LD_EXEC_CYCLES_4_pct,       53.191
LD_EXEC_CYCLES_4_total_count,          2973
LD_EXEC_CYCLES_4_total_pct,       56.360
LD_EXEC_CYCLES_4_sum_count,          2805
