Core, 0
Cumulative Cycles, 14658141            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.36443
Periodic Cycles, 7391273             
Periodic Instructions, 10000000            
Periodic IPC, 1.35295

EXECUTION_TIME_count, 2309772812500
EXECUTION_TIME_total_count, 4580669062500

NODE_CYCLE_count,       7391273
NODE_CYCLE_total_count,      14658141

NODE_INST_COUNT_count,      10000000
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9049239
NODE_INST_COUNT_FETCHED_total_count,      18262380

NODE_UOP_COUNT_count,      14366670
NODE_UOP_COUNT_total_count,      28263801

FULL_WINDOW_STALL_count,       4628832
FULL_WINDOW_STALL_pct,       62.626
FULL_WINDOW_STALL_total_count,       8941817
FULL_WINDOW_STALL_total_pct,       61.002

FULL_WINDOW_MEM_OP_count,       1463867
FULL_WINDOW_MEM_OP_pct,       44.057
FULL_WINDOW_MEM_OP_total_count,       2723015
FULL_WINDOW_MEM_OP_total_pct,       42.039

FULL_WINDOW_FP_OP_count,       1827032
FULL_WINDOW_FP_OP_pct,       54.987
FULL_WINDOW_FP_OP_total_count,       3689537
FULL_WINDOW_FP_OP_total_pct,       56.960

FULL_WINDOW_OTHER_OP_count,         31735
FULL_WINDOW_OTHER_OP_pct,        0.955
FULL_WINDOW_OTHER_OP_total_count,         64865
FULL_WINDOW_OTHER_OP_total_pct,        1.001
FULL_WINDOW_OTHER_OP_sum_count,       3322634
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       6477417
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.57
FULL_WINDOW_OTHER_OP_stddev,         0.35
FULL_WINDOW_OTHER_OP_total_mean,         0.59
FULL_WINDOW_OTHER_OP_total_stddev,         0.35

RET_BLOCKED_DC_MISS_count,       1263263
RET_BLOCKED_DC_MISS_pct,       17.091
