Core, 0
Cumulative Cycles, 12982778            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.54050
Periodic Cycles, 6477598             
Periodic Instructions, 9999996             
Periodic IPC, 1.54378

EXECUTION_TIME_count, 2024249375000
EXECUTION_TIME_total_count, 4057118125000

NODE_CYCLE_count,       6477598
NODE_CYCLE_total_count,      12982778

NODE_INST_COUNT_count,       9999996
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999996
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      12536987
NODE_UOP_COUNT_total_count,      25073846

FULL_WINDOW_STALL_count,       4427908
FULL_WINDOW_STALL_pct,       68.357
FULL_WINDOW_STALL_total_count,       8878151
FULL_WINDOW_STALL_total_pct,       68.384

FULL_WINDOW_MEM_OP_count,        452005
FULL_WINDOW_MEM_OP_pct,       12.076
FULL_WINDOW_MEM_OP_total_count,        921053
FULL_WINDOW_MEM_OP_total_pct,       12.271

FULL_WINDOW_FP_OP_count,       3121469
FULL_WINDOW_FP_OP_pct,       83.394
FULL_WINDOW_FP_OP_total_count,       6245981
FULL_WINDOW_FP_OP_total_pct,       83.214

FULL_WINDOW_OTHER_OP_count,        169584
FULL_WINDOW_OTHER_OP_pct,        4.531
FULL_WINDOW_OTHER_OP_total_count,        338897
FULL_WINDOW_OTHER_OP_total_pct,        4.515
FULL_WINDOW_OTHER_OP_sum_count,       3743058
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       7505931
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.92
FULL_WINDOW_OTHER_OP_stddev,         0.31
FULL_WINDOW_OTHER_OP_total_mean,         0.92
FULL_WINDOW_OTHER_OP_total_stddev,         0.31

RET_BLOCKED_DC_MISS_count,         31964
RET_BLOCKED_DC_MISS_pct,        0.493
RET_BLOCKED_DC_MISS_total_count,         83632
RET_BLOCKED_DC_MISS_total_pct,        0.644

RET_BLOCKED_L1_MISS_count,         30001
RET_BLOCKED_L1_MISS_pct,        0.463
RET_BLOCKED_L1_MISS_total_count,         75883
RET_BLOCKED_L1_MISS_total_pct,        0.584

RET_BLOCKED_L1_MISS_BW_PREF_count,            84
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.001
RET_BLOCKED_L1_MISS_BW_PREF_total_count,           613
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.005

RET_BLOCKED_L1_ACCESS_count,          1963
RET_BLOCKED_L1_ACCESS_pct,        0.030
RET_BLOCKED_L1_ACCESS_total_count,          7749
RET_BLOCKED_L1_ACCESS_total_pct,        0.060

RET_BLOCKED_MEM_STALL_count,         30001
RET_BLOCKED_MEM_STALL_pct,        0.463
RET_BLOCKED_MEM_STALL_total_count,         75891
RET_BLOCKED_MEM_STALL_total_pct,        0.585

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      12549318
OP_ISSUED_total_count,      25112024

OP_RETIRED_count,      12536987
OP_RETIRED_total_count,      25073846

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         74655
LD_NO_DEPENDENTS_pct,        1.870
LD_NO_DEPENDENTS_total_count,        149342
LD_NO_DEPENDENTS_total_pct,        1.871

LD_DEPENDENTS_count,       3917502
LD_DEPENDENTS_pct,       98.130
LD_DEPENDENTS_total_count,       7834619
LD_DEPENDENTS_total_pct,       98.129
LD_DEPENDENTS_sum_count,       3992157
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       7983961
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.98
LD_DEPENDENTS_stddev,         0.97
LD_DEPENDENTS_total_mean,         0.98
LD_DEPENDENTS_total_stddev,         0.97

LD_EXEC_CYCLES_0_count,             0
