Core, 0
Cumulative Cycles, 4798052             
Cumulative Instructions, 20000000            
Cumulative IPC, 4.16836
Periodic Cycles, 2324071             
Periodic Instructions, 9999996             
Periodic IPC, 4.30279

EXECUTION_TIME_count,  726272187500
EXECUTION_TIME_total_count, 1499391250000

NODE_CYCLE_count,       2324071
NODE_CYCLE_total_count,       4798052

NODE_INST_COUNT_count,       9999996
NODE_INST_COUNT_total_count,      20000000

NODE_INST_COUNT_FETCHED_count,       9999996
NODE_INST_COUNT_FETCHED_total_count,      20000000

NODE_UOP_COUNT_count,      13135436
NODE_UOP_COUNT_total_count,      26271409

FULL_WINDOW_STALL_count,         71806
FULL_WINDOW_STALL_pct,        3.090
FULL_WINDOW_STALL_total_count,        127931
FULL_WINDOW_STALL_total_pct,        2.666

FULL_WINDOW_MEM_OP_count,         49438
FULL_WINDOW_MEM_OP_pct,      100.000
FULL_WINDOW_MEM_OP_total_count,         88370
FULL_WINDOW_MEM_OP_total_pct,      100.000

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,         49438
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,         88370
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.00
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.00

RET_BLOCKED_DC_MISS_count,             0
RET_BLOCKED_DC_MISS_pct,        0.000
RET_BLOCKED_DC_MISS_total_count,          3765
RET_BLOCKED_DC_MISS_total_pct,        0.078

RET_BLOCKED_L1_MISS_count,             0
RET_BLOCKED_L1_MISS_pct,        0.000
RET_BLOCKED_L1_MISS_total_count,          1730
RET_BLOCKED_L1_MISS_total_pct,        0.036

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,           366
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.008

RET_BLOCKED_L1_ACCESS_count,             0
RET_BLOCKED_L1_ACCESS_pct,        0.000
RET_BLOCKED_L1_ACCESS_total_count,          2112
RET_BLOCKED_L1_ACCESS_total_pct,        0.044

RET_BLOCKED_MEM_STALL_count,             0
RET_BLOCKED_MEM_STALL_pct,        0.000
RET_BLOCKED_MEM_STALL_total_count,          1730
RET_BLOCKED_MEM_STALL_total_pct,        0.036

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      14047971
OP_ISSUED_total_count,      28721584

OP_RETIRED_count,      13135436
OP_RETIRED_total_count,      26271409

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
