Core, 0
Cumulative Cycles, 14808773            
Cumulative Instructions, 20000002            
Cumulative IPC, 1.35055
Periodic Cycles, 7273709             
Periodic Instructions, 9999997             
Periodic IPC, 1.37481

EXECUTION_TIME_count, 2273034062500
EXECUTION_TIME_total_count, 4627741562500

NODE_CYCLE_count,       7273709
NODE_CYCLE_total_count,      14808773

NODE_INST_COUNT_count,       9999997
NODE_INST_COUNT_total_count,      20000002

NODE_INST_COUNT_FETCHED_count,       9983615
NODE_INST_COUNT_FETCHED_total_count,      19967238

NODE_UOP_COUNT_count,      10398550
NODE_UOP_COUNT_total_count,      20818999

FULL_WINDOW_STALL_count,       2681360
FULL_WINDOW_STALL_pct,       36.864
FULL_WINDOW_STALL_total_count,       5742426
FULL_WINDOW_STALL_total_pct,       38.777

FULL_WINDOW_MEM_OP_count,       2576428
FULL_WINDOW_MEM_OP_pct,      100.000
FULL_WINDOW_MEM_OP_total_count,       5537076
FULL_WINDOW_MEM_OP_total_pct,      100.000

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,        0.000
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,        0.000

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,        0.000
FULL_WINDOW_OTHER_OP_total_count,            16
FULL_WINDOW_OTHER_OP_total_pct,        0.000
FULL_WINDOW_OTHER_OP_sum_count,       2576428
FULL_WINDOW_OTHER_OP_sum_pct,      100.000
FULL_WINDOW_OTHER_OP_sum_total_count,       5537092
FULL_WINDOW_OTHER_OP_sum_total_pct,      100.000
FULL_WINDOW_OTHER_OP_mean,         0.00
FULL_WINDOW_OTHER_OP_stddev,         0.00
FULL_WINDOW_OTHER_OP_total_mean,         0.00
FULL_WINDOW_OTHER_OP_total_stddev,         0.00

RET_BLOCKED_DC_MISS_count,       3660007
RET_BLOCKED_DC_MISS_pct,       50.318
RET_BLOCKED_DC_MISS_total_count,       7618853
RET_BLOCKED_DC_MISS_total_pct,       51.448

RET_BLOCKED_L1_MISS_count,       2441072
RET_BLOCKED_L1_MISS_pct,       33.560
RET_BLOCKED_L1_MISS_total_count,       5284552
RET_BLOCKED_L1_MISS_total_pct,       35.685

RET_BLOCKED_L1_MISS_BW_PREF_count,           291
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.004
RET_BLOCKED_L1_MISS_BW_PREF_total_count,          1576
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.011

RET_BLOCKED_L1_ACCESS_count,       1219853
RET_BLOCKED_L1_ACCESS_pct,       16.771
RET_BLOCKED_L1_ACCESS_total_count,       2336138
RET_BLOCKED_L1_ACCESS_total_pct,       15.775

RET_BLOCKED_MEM_STALL_count,       2441072
RET_BLOCKED_MEM_STALL_pct,       33.560
RET_BLOCKED_MEM_STALL_total_count,       5284561
RET_BLOCKED_MEM_STALL_total_pct,       35.685

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,      17401923
OP_ISSUED_total_count,      34258316

OP_RETIRED_count,      10398550
OP_RETIRED_total_count,      20818999

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,         39325
LD_NO_DEPENDENTS_pct,        1.629
